,Pfs1,Pfs10,Pfs11,Pfs12,Pfs13,Pfs14,Pfs15,Pfs16,Pfs2,Pfs3,Pfs4,Pfs5,Pfs6,Pfs7,Pfs8,Pfs9
07ca2bf2-9203-4592-b722-ff41eb2d2179,0,11,0,0,0,0,11,0,0,0,11,0,11,0,11,4
07df619e-d030-4d8d-a2d3-03602b9ac52f,3,3,4,0,0,0,3,0,1,0,3,0,3,5,6,0
0b1b16c6-50d3-44e5-b315-bbd16a306e95,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,2
11520379-2ee3-4447-b96f-d828636ee63b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11705655-822a-40c4-9e40-5566c1630fb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12c65d36-9e09-4d89-ab15-586f581224e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2328fbc8-8c85-4e7b-a11a-1f2fc1875ea3,0,0,2,1,0,1,2,3,0,0,2,2,2,3,1,1
26a58ef5-0d9f-4c5f-8411-2a9981ec5ef2,6,6,9,8,3,8,3,7,9,6,11,9,10,8,14,10
27ce960c-6ca0-4022-8e5e-cc9c43baaa9f,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2dd8ce74-dce9-4df7-aa26-5dd75c2eb042,17,2,14,2,14,5,14,5,7,5,10,11,10,10,12,7
33075246-569c-49c6-bc2c-8211d46870b1,1,0,3,0,13,0,31,22,0,0,6,11,17,0,14,33
34314b21-2ddb-4417-80fa-8287931665b4,13,16,7,12,7,8,10,7,12,9,7,7,11,7,9,5
35210663-2196-49d8-851a-ef37208950fe,8,11,9,9,9,9,9,9,9,9,10,9,10,11,9,9
35b20c77-b911-437c-9e48-769144dfa005,39,36,47,52,51,52,65,37,29,52,46,37,47,47,65,57
37d5bc27-4020-41ec-9d10-20da31160d56,5,25,15,12,15,11,6,9,6,10,9,8,12,28,14,24
3c0a6c05-7588-436b-b66c-6a640110d01c,0,0,2,0,9,0,9,0,0,0,2,9,2,0,9,9
3ce8a56a-c85a-438b-aae1-a8cedec63c2a,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,2
4052ffad-130c-4fe7-bc20-5b3f301b030b,12,4,8,2,2,3,2,2,2,2,3,4,6,2,2,2
4228d1bc-69e3-4c19-92b0-6d20bc0da345,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1
424eeaf6-5b21-40ef-a698-13eb9f6b26c3,82,58,75,75,85,74,74,75,66,81,75,83,72,76,79,71
459e95e3-0123-4e09-8f12-780e8043e056,0,6,4,0,4,0,3,3,0,2,3,1,3,0,2,2
4b734dfc-a9a5-48aa-8739-93d8f0544d80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d974110-f577-4e6e-81db-578292ebe769,0,0,0,3,2,2,0,0,0,0,24,0,42,1,55,0
51439f92-c021-42e6-9f8e-ca4fe0d90c5f,3,5,1,3,0,5,0,0,0,0,4,8,8,3,3,3
548c9e2c-a35e-491c-be1d-d160e2a0c596,0,6,2,0,0,0,5,0,0,0,7,5,7,6,2,0
5556b420-60e5-4252-8644-905edc27760b,0,1,1,0,0,0,4,0,0,0,0,1,0,0,4,0
56db96bf-ce39-46f5-ab99-5583ae7392c5,17,14,35,20,15,6,37,35,14,18,34,22,15,31,14,14
5cf92296-59c3-4f98-aa36-4b663c60f3cb,10,0,5,2,1,2,2,0,0,6,8,6,3,1,0,1
5f4e5cad-3736-4a27-924b-5cea063a73ba,57,71,41,53,42,43,45,51,45,53,23,38,59,63,55,62
60947d55-814c-4372-ba3d-c0fcec131d7b,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1
60c9cd88-5109-41f6-a1d5-52d799fcb928,4,16,28,5,30,8,20,7,12,29,8,35,18,26,12,36
660f6c72-ce63-4070-91d6-e2b09a530208,0,5,5,0,5,0,0,0,0,0,0,0,0,1,0,0
675f0c7f-1d57-4e82-8565-5fd4e3d2fa7e,2,2,4,0,0,2,3,0,1,4,6,7,5,2,1,0
70054df3-12d3-45e1-bd4c-ff88291b3e0c,19,21,22,30,22,25,18,26,19,18,18,18,18,17,24,22
708b1019-69bf-4618-a8f2-912ca447279a,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1
713fb2b0-af5e-422e-83ed-43dbcea18dcc,0,5,5,0,3,0,4,0,0,0,0,7,0,5,5,0
724e7c09-f644-46df-8d08-86670a9f2be8,0,4,4,0,0,0,1,0,0,4,0,1,0,8,0,0
7268146e-c1fe-40a7-bc05-888eb8f10f3c,49,25,0,2,0,2,0,0,0,0,17,0,2,26,28,0
7a3ad5b9-94e9-4806-8d8d-dc0c0cb67756,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
8045c640-1c6f-417e-a386-a2d920f946c1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2
8077d7fc-2e67-4b78-984a-ace9415e47a5,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0
816cbde8-d50b-4717-9ec1-1c5e953c57d5,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1
88af350b-bec7-4cc3-ad6f-a6c8d0e40de8,4,5,5,6,5,3,10,7,0,6,6,9,4,5,6,3
88f8495a-35f2-4990-a516-038dce4d7053,0,0,1,0,0,4,3,0,2,0,2,1,2,0,0,3
8a1a8a33-238c-41e0-97a6-f59ab8de15d4,6,1,1,6,9,6,4,5,5,5,5,2,5,5,0,0
8a5904a7-2326-4b36-8db8-cbe6de7251fd,22,31,25,21,21,24,22,20,9,17,21,27,15,27,19,9
8dd5d139-c476-4310-85b8-f89f664634d9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3
8f3cf966-6808-47b5-b405-4dd6eab03fb9,25,18,17,12,14,11,7,12,16,12,13,29,12,21,12,8
91c69c09-e359-4954-8daa-3f8e4f23ebe6,0,4,0,2,6,2,3,7,0,0,4,5,4,5,4,7
9441f90b-fece-4684-9fcd-c957e2070860,0,0,46,0,0,0,32,46,0,0,32,45,32,0,46,0
96b9448e-8af7-43b3-b7d3-dd78b4688659,14,12,14,13,11,13,14,11,10,12,10,12,13,12,13,12
9cade58c-4477-4a83-bfc1-2f54f0f4f870,1,0,0,0,0,0,0,9,1,0,9,7,9,9,9,0
a19c5594-f30d-42a0-9fe7-62a7ce05aeb6,29,31,30,29,33,29,30,33,30,29,29,29,30,32,30,30
a3e73eab-394e-4739-b931-1c2fcc9d5b30,1,0,0,1,20,1,1,1,0,0,24,1,24,1,1,1
a4cb1820-856f-4567-8dfa-f53046b2c3db,0,0,4,0,2,0,2,1,5,0,1,1,1,0,1,0
a5b2eed6-9aca-44e5-b972-f79e795359e7,41,2,2,2,11,2,2,3,2,17,18,3,8,3,2,2
b33d26a7-30c5-467e-84c3-402cb2b45dd8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
b3c36c72-dc1d-48b0-8008-69c4c7106def,5,5,5,5,5,5,5,5,4,4,7,5,7,5,9,5
b624c992-75dd-4d7b-9997-010034c5747b,82,68,78,69,78,80,48,79,57,48,71,77,80,76,78,79
b84c16ad-5a51-42b9-b813-ca18534113ea,10,10,9,9,10,10,10,8,6,10,7,11,8,9,7,9
bc579356-1d6b-4b5e-b2e3-0c8bfc42c7a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c120cae8-08d1-49ea-b22d-b69376cd0772,62,43,44,34,32,38,76,61,24,39,45,58,89,70,45,29
c1e8030d-6859-4629-8416-33ce89b01e31,64,50,48,65,53,61,46,49,31,53,54,48,58,56,64,48
c2843de4-07d6-45b7-8bac-8bb759efcb94,52,10,9,5,41,34,7,10,8,7,5,8,5,33,5,5
c3fb67da-4e88-4dc9-a72d-89a5830c2403,9,9,10,8,8,8,8,10,9,8,8,9,8,8,8,8
c58be0f7-96e6-4329-b5ef-4928b4197a42,19,0,15,9,8,9,0,0,0,0,1,0,1,0,0,5
c7e32dbc-33e0-4289-bc38-58c06a2fdfaa,59,75,55,58,60,58,60,72,50,50,68,59,70,75,61,55
c9c24eaa-b28a-42a1-9e13-e5a55d90cdc6,73,48,113,73,73,66,96,71,86,74,74,88,67,76,104,73
cccff4fb-c882-4d52-a7a9-ec46b1e0d93c,0,2,0,0,2,0,2,0,0,0,1,2,1,2,0,0
cd3d9030-c6bd-492b-bc9a-3b6f1c0190f7,0,0,1,0,1,0,1,1,0,0,2,2,2,0,1,0
cdd72c8c-5c41-4352-8257-6f99c470b99b,2,1,1,0,1,0,1,1,1,0,1,2,1,2,2,0
cf85b20c-cd43-463f-9ac7-5f609b5ebbdc,30,33,33,33,36,32,33,34,30,32,33,33,33,36,46,33
d084d722-b180-4f59-a788-aa516a213c90,0,2,0,0,2,0,5,0,0,1,20,1,2,2,0,23
d31ea0d2-5dbf-43ce-b18c-8ed5c8f6c4ed,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
d4fa42f8-ed1b-47c1-9910-f7ede7b64787,0,0,1,0,3,0,0,1,0,0,0,0,0,0,69,0
d6074c11-8241-4fe1-a4d8-72eea3efd3bc,4,0,9,0,2,0,3,0,1,0,0,7,5,2,3,6
db9552fd-ac7a-40aa-bd73-26c5705ad09c,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
e928662a-5ed0-4a4a-9548-43d358a73932,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
eae8cdc5-0876-450d-a6bf-9cf0193bd22f,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
ed4caea2-1fa1-49d1-a59e-d4ff7f2f5555,12,29,32,12,22,12,28,12,12,12,22,21,22,13,28,28
ef004967-0dfb-4d71-81d1-ce74200f1819,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
f1c5e1a6-3be2-4ddd-857d-8f492f3233d5,55,65,66,66,79,65,65,68,59,65,61,63,71,65,79,67
f3489cfa-8ad9-474e-b7e7-1308cebbbf0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5ff79a6-b2e9-4967-8e1b-410355e92cb2,0,0,4,3,0,0,3,1,0,0,1,4,1,2,3,0
f639a9fb-4205-412d-b845-76b3e789899c,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
f640d217-ef76-4dc6-8437-799a91ed46ef,1,1,2,0,0,0,1,1,0,0,0,0,0,1,2,0
f78820ac-fbe4-4891-a0ea-56562529c795,4,20,0,0,0,0,18,21,0,15,2,21,1,19,0,19
